,area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_cleaned,price_per_sqft
0,Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2.0,1.0,39.07,2,1056.0,3699.810606060606
2,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,not provided,1440,2.0,3.0,62.0,3,1440.0,4305.555555555556
3,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3.0,1.0,95.0,3,1521.0,6245.890861275477
4,Super built-up  Area,Ready To Move,Kothanur,2 BHK,not provided,1200,2.0,1.0,51.0,2,1200.0,4250.0
5,Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2.0,1.0,38.0,2,1170.0,3247.863247863248
8,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,not provided,1310,3.0,1.0,63.25,3,1310.0,4828.244274809161
10,Super built-up  Area,18-Feb,Whitefield,3 BHK,not provided,1800,2.0,2.0,70.0,3,1800.0,3888.8888888888887
12,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2.0,1.0,38.0,2,1000.0,3800.0
13,Built-up  Area,Ready To Move,Gottigere,2 BHK,not provided,1100,2.0,2.0,40.0,2,1100.0,3636.3636363636365
14,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,148.0,3,2250.0,6577.777777777777
15,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,73.5,2,1175.0,6255.31914893617
16,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3.0,2.0,48.0,3,1180.0,4067.7966101694915
17,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3.0,3.0,60.0,3,1540.0,3896.103896103896
19,Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,not provided,1100,2.0,2.0,48.0,2,1100.0,4363.636363636364
20,Built-up  Area,Ready To Move,Kengeri,1 BHK,not provided,600,1.0,1.0,15.0,1,600.0,2500.0
21,Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3.0,1.0,122.0,3,1755.0,6951.5669515669515
23,Super built-up  Area,Ready To Move,Bellandur,3 BHK,not provided,1767,3.0,1.0,103.0,3,1767.0,5829.088851160159
24,Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1.0,0.0,25.25,1,510.0,4950.980392156863
25,Super built-up  Area,18-May,Mangammanapalya,3 BHK,not provided,1250,3.0,2.0,56.0,3,1250.0,4480.0
26,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,23.1,2,660.0,3500.0
27,Built-up  Area,20-Dec,Whitefield,3 BHK,not provided,1610,3.0,2.0,81.0,3,1610.0,5031.055900621118
28,Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,48.77,2,1151.0,4237.185056472633
29,Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2.0,1.0,47.0,3,1025.0,4585.365853658536
30,Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4.0,0.0,186.0,4,2475.0,7515.151515151515
31,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,35.0,3,1075.0,3255.813953488372
32,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,123.0,3,1760.0,6988.636363636364
33,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,3,1693.0,3389.84051978736
34,Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3.0,2.0,125.0,3,1925.0,6493.506493506494
35,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0,2,700.0,5142.857142857143
36,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,not provided,1070,2.0,1.0,45.5,2,1070.0,4252.336448598131
37,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,125.0,3,1724.0,7250.580046403712
38,Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,not provided,1290,2.0,2.0,56.12,3,1290.0,4350.387596899225
39,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,not provided,1143,2.0,2.0,45.0,2,1143.0,3937.0078740157483
40,Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2.0,1.0,81.0,2,1296.0,6250.0
41,Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3.0,2.0,38.0,3,1254.0,3030.3030303030305
42,Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1.0,0.0,38.0,1,600.0,6333.333333333333
43,Plot  Area,Ready To Move,Yelahanka,1 Bedroom,not provided,660,1.0,0.0,48.0,1,660.0,7272.727272727273
44,Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79,2,1330.74,6897.665960292769
45,Plot  Area,Ready To Move,HSR Layout,8 Bedroom,not provided,600,9.0,2.0,200.0,8,600.0,33333.333333333336
46,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,33.0,2,970.0,3402.061855670103
47,Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2.0,1.0,94.82,2,1459.0,6498.971898560658
48,Plot  Area,Ready To Move,KR Puram,2 Bedroom,not provided,800,1.0,1.0,130.0,2,800.0,16250.0
49,Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,not provided,869,2.0,1.0,36.0,2,869.0,4142.692750287687
